,cp_name
197,태광산업(주)대구사업소
198,(주)케이씨씨
199,(주)케이씨씨 김천공장
200,라이온코리아(주)
201,삼성전기(주) 수원사업장
202,삼성전기(주) 부산사업장
203,삼성전기(주) 세종사업장
204,(주)한독 음성공장
205,(주)풍산
206,(주)풍산 안강사업장
207,(주)풍산 울산사업장
208,현대자동차(주) 본사
209,현대자동차 서비스센터
210,현대자동차 아산공장
211,현대자동차 연구시설
212,현대자동차 울산공장
213,현대자동차 전주공장
214,(주)필맥스
215,롯데알미늄 본사
216,롯데알미늄 안산1공장
217,롯데알미늄 진천공장
218,롯데알미늄 평택공장
219,LG이노텍 본사
220,LG이노텍 광주사업장
221,"LG이노텍 구미 2,3사업장"
222,"LG이노텍 구미1,1A사업장"
223,LG이노텍 마곡R&D캠퍼스
224,LG이노텍 안산R&D캠퍼스
225,LG이노텍 파주사업장
226,LG이노텍 평택사업장
227,LG이노텍_구미4(C4) 사업장
228,기아 주식회사
229,기아 주식회사 광명공장
230,기아 주식회사 광주완성차공장
231,기아 주식회사 광주하남공장
232,기아 주식회사 화성공장
233,(주)유니드
234,(주)유니드-화학_울산공장 
235,한화솔루션(주)
236,한화솔루션(주) 여수
237,한화솔루션(주) 여수2
238,한화솔루션(주) 울산1
239,한화솔루션(주) 울산2
240,한화솔루션(주) 울산3
241,한화솔루션(주) 중앙연구소
242,한화솔루션(주) 티디아이
243,한화솔루션㈜ 음성 제2사업장
244,한화솔루션㈜ 진천사업장
245,주식회사 전주페이퍼 (전주)
246,고려아연(주)
247,고려아연(주)온산제련소
248,현대위아(주) 창원1공장
249,현대위아(주) 광주공장
250,현대위아(주) 서산공장
251,현대위아(주) 안산1공장
252,현대위아(주) 안산2공장
253,현대위아(주) 울산1공장
254,현대위아(주) 울산3공장
255,현대위아(주) 의왕연구소
256,현대위아(주) 창원2공장
257,현대위아(주) 창원4공장
258,현대위아(주) 창원5공장
259,현대위아(주) 평택공장
260,현대위아(주)창원3공장
261,(주)어프로티움 울산 1공장
262,(주)어프로티움 서산공장
263,(주)어프로티움 울산 2공장
264,LS ELECTRIC 본사
265,LS일렉트릭 부산공장
266,LS일렉트릭 천안사업장
267,LS일렉트릭 청주사업장
268,(주)오뚜기센터
269,(주)오뚜기 대풍공장
270,(주)오뚜기 삼남공장
271,(주)오뚜기 안양공장
272,(주)오뚜기 포승공장
273,재원산업
274,해태htb(주)천안공장
275,(주)풍정주공 본사
276,이녹스첨단소재
277,에이치디현대일렉트릭(주)
278,에이치디현대일렉트릭(주) 선암공장
279,(주)한영특수강
280,한국앤컴퍼니(주)
281,한국앤컴퍼니(주) 대전공장
282,한국앤컴퍼니(주) 전주공장
283,(주)원익아이피에스
284,삼화페인트공업(주) 대표사업
285,(주)지씨셀
286,(주)동인섬유
287,한국지엠(주) 부평공장 (본사)
288,한국지엠(주) 보령공장
289,한국지엠(주) 창원공장
290,ROHMKOREA 대전공장
291,롯데정밀화학(주)
292,롯데정밀화학(주) 인천
293,(주)휴비스 전주공장
294,(주)휴비스
295,코카콜라음료(주) 여주공장
296,코카콜라음료(주) 광주공장
297,삼성전자(주) 수원사업장
298,삼성전자(주) CS아카데미
299,삼성전자(주) SAIT
300,삼성전자(주) 광주2사업장
301,삼성전자(주) 구미사업장
302,삼성전자(주) 기흥사업장
303,삼성전자(주) 서울R&D
304,삼성전자(주) 서울대공동연구소
305,삼성전자(주) 서초사옥
306,삼성전자(주) 온양사업장
307,삼성전자(주) 인재개발원
308,삼성전자(주) 천안사업장(TP)
309,삼성전자(주) 평택사업장
310,삼성전자(주) 하남사업장
311,삼성전자(주) 화성사업장
312,(주)엘엑스엠엠에이
313,(주)엘엑스엠엠에이 MMA2공장
314,(주)엘엑스엠엠에이 피엠엠에이
315,셰플러코리아 유한책임회사 창원1공장
316,셰플러코리아 유한책임회사 전주공장
317,셰플러코리아 유한책임회사 창원2공장
318,셰플러코리아 유한책임회사 창원3공장
319,한화임팩트주식회사 울산사업장
320,한화임팩트주식회사 대산사업장
321,스템코(주)
322,라이온코리아(주)
323,금호미쓰이화학(주)
324,삼성전기(주) 수원사업장
325,삼성전기(주) 부산사업장
326,삼성전기(주) 세종사업장
327,SK하이닉스(주) 이천본사
328,SK하이닉스(주) 분당사업장
329,SK하이닉스(주) 청주사업장
330,DL케미칼(주)HDPE공장
331,DL케미칼(주) 본사 사옥(돈의문센터)
332,DL케미칼(주)여수C4공장
333,DL케미칼(주)여수LHDPE공장
334,DL케미칼(주)여수PB공장
335,온세미컨덕터코리아(주)
336,한화토탈(주)
337,(주)한독 음성공장
338,한온시스템(주) 대전공장
339,한온시스템(주) 평택공장
340,한온시스템(주)_울산공장
341,볼보그룹코리아(주)
342,롯데이네오스화학
343,도레이첨단소재(주)
344,도레이첨단소재(주)_구미2공장
345,도레이첨단소재(주)_구미5공장
346,도레이첨단소재(주)_안성공장
347,도레이첨단소재(주)_유구공장
348,도레이첨단소재(주)구미1공장
349,도레이첨단소재(주)구미4공장
350,도레이첨단소재(주)군산공장
351,(주)국순당 횡성공장
352,(주)DB하이텍 부천공장
353,(주)DB하이텍 상우공장
354,동서석유화학(주)
355,서울우유협동조합 안산공장
356,서울우유협동조합 거창공장
357,서울우유협동조합 양주신공장
358,(주)엠에스씨
359,(주)디비메탈
360,(주)디비메탈 동해공장
361,르노코리아자동차 주식회사(부산공장)
362,르노코리아자동차 기흥연구소
363,르노코리아자동차 영업본부
364,한국타이어앤테크놀로지(주) 본사
365,한국타이어앤테크놀로지(주) 금산공장
366,한국타이어앤테크놀로지(주) 대전공장
367,한국타이어앤테크놀로지(주) 생산기술연구소
368,한국테크노돔
369,넥센타이어(주) 양산공장
370,넥센타이어(주) 창녕공장
371,SK케미칼(본사)
372,SK케미칼 울산
373,SK케미칼 청주
374,에이치디현대인프라코어 인천공장
375,에이치디현대인프라코어 군산공장
376,영화금속(주)
377,영화금속(주)_함안공장
378,영화금속(주)제2공장
379,현대제철
380,현대제철 당진제철소
381,현대제철 순천공장
382,현대제철 예산2공장
383,현대제철 예산공장
384,현대제철 울산 대구경공장
385,현대제철 울산공장
386,현대제철 인천공장
387,현대제철 포항공장
388,현대제철_포항2공장
389,대한제당(주)
390,대한제당(주)인천사료
391,태광산업(주)
392,태광산업(주) 반여공장
393,태광산업(주) 석유화학 1공장
394,태광산업(주) 석유화학 2공장
395,태광산업(주) 석유화학 3공장
396,태광산업(주) 울산공장
397,태광산업(주)대구사업소
398,(주)케이씨씨
399,(주)케이씨씨 김천공장
400,라이온코리아(주)
401,삼성전기(주) 수원사업장
402,삼성전기(주) 부산사업장
403,삼성전기(주) 세종사업장
404,(주)한독 음성공장
405,(주)풍산
406,(주)풍산 안강사업장
407,(주)풍산 울산사업장
408,현대자동차(주) 본사
409,현대자동차 서비스센터
410,현대자동차 아산공장
411,현대자동차 연구시설
412,현대자동차 울산공장
413,현대자동차 전주공장
414,(주)필맥스
415,롯데알미늄 본사
416,롯데알미늄 안산1공장
417,롯데알미늄 진천공장
418,롯데알미늄 평택공장
419,LG이노텍 본사
420,LG이노텍 광주사업장
421,"LG이노텍 구미 2,3사업장"
422,"LG이노텍 구미1,1A사업장"
423,LG이노텍 마곡R&D캠퍼스
424,LG이노텍 안산R&D캠퍼스
425,LG이노텍 파주사업장
426,LG이노텍 평택사업장
427,LG이노텍_구미4(C4) 사업장
428,기아 주식회사
429,기아 주식회사 광명공장
430,기아 주식회사 광주완성차공장
431,기아 주식회사 광주하남공장
432,기아 주식회사 화성공장
433,(주)유니드
434,(주)유니드-화학_울산공장 
435,한화솔루션(주)
436,한화솔루션(주) 여수
437,한화솔루션(주) 여수2
438,한화솔루션(주) 울산1
439,한화솔루션(주) 울산2
440,한화솔루션(주) 울산3
441,한화솔루션(주) 중앙연구소
442,한화솔루션(주) 티디아이
443,한화솔루션㈜ 음성 제2사업장
444,한화솔루션㈜ 진천사업장
445,주식회사 전주페이퍼 (전주)
446,고려아연(주)
447,고려아연(주)온산제련소
448,현대위아(주) 창원1공장
449,현대위아(주) 광주공장
450,현대위아(주) 서산공장
451,현대위아(주) 안산1공장
452,현대위아(주) 안산2공장
453,현대위아(주) 울산1공장
454,현대위아(주) 울산3공장
455,현대위아(주) 의왕연구소
456,현대위아(주) 창원2공장
457,현대위아(주) 창원4공장
458,현대위아(주) 창원5공장
459,현대위아(주) 평택공장
460,현대위아(주)창원3공장
461,(주)어프로티움 울산 1공장
462,(주)어프로티움 서산공장
463,(주)어프로티움 울산 2공장
464,LS ELECTRIC 본사
465,LS일렉트릭 부산공장
466,LS일렉트릭 천안사업장
467,LS일렉트릭 청주사업장
468,(주)오뚜기센터
469,(주)오뚜기 대풍공장
470,(주)오뚜기 삼남공장
471,(주)오뚜기 안양공장
472,(주)오뚜기 포승공장
473,재원산업
474,해태htb(주)천안공장
475,(주)풍정주공 본사
476,이녹스첨단소재
477,에이치디현대일렉트릭(주)
478,에이치디현대일렉트릭(주) 선암공장
479,(주)한영특수강
480,한국앤컴퍼니(주)
481,한국앤컴퍼니(주) 대전공장
482,한국앤컴퍼니(주) 전주공장
483,(주)원익아이피에스
484,삼화페인트공업(주) 대표사업
485,(주)지씨셀
486,(주)동인섬유
487,한국지엠(주) 부평공장 (본사)
488,한국지엠(주) 보령공장
489,한국지엠(주) 창원공장
490,ROHMKOREA 대전공장
491,롯데정밀화학(주)
492,롯데정밀화학(주) 인천
493,(주)휴비스 전주공장
494,(주)휴비스
495,코카콜라음료(주) 여주공장
496,코카콜라음료(주) 광주공장
497,삼성전자(주) 수원사업장
498,삼성전자(주) CS아카데미
499,삼성전자(주) SAIT
500,삼성전자(주) 광주2사업장
501,삼성전자(주) 구미사업장
502,삼성전자(주) 기흥사업장
503,삼성전자(주) 서울R&D
504,삼성전자(주) 서울대공동연구소
505,삼성전자(주) 서초사옥
506,삼성전자(주) 온양사업장
507,삼성전자(주) 인재개발원
508,삼성전자(주) 천안사업장(TP)
509,삼성전자(주) 평택사업장
510,삼성전자(주) 하남사업장
511,삼성전자(주) 화성사업장
512,(주)엘엑스엠엠에이
513,(주)엘엑스엠엠에이 MMA2공장
514,(주)엘엑스엠엠에이 피엠엠에이
515,셰플러코리아 유한책임회사 창원1공장
516,셰플러코리아 유한책임회사 전주공장
517,셰플러코리아 유한책임회사 창원2공장
518,셰플러코리아 유한책임회사 창원3공장
519,한화임팩트주식회사 울산사업장
520,한화임팩트주식회사 대산사업장
521,스템코(주)
522,라이온코리아(주)
523,금호미쓰이화학(주)
524,삼성전기(주) 수원사업장
525,삼성전기(주) 부산사업장
526,삼성전기(주) 세종사업장
527,SK하이닉스(주) 이천본사
528,SK하이닉스(주) 분당사업장
529,SK하이닉스(주) 청주사업장
530,DL케미칼(주)HDPE공장
531,DL케미칼(주) 본사 사옥(돈의문센터)
532,DL케미칼(주)여수C4공장
533,DL케미칼(주)여수LHDPE공장
534,DL케미칼(주)여수PB공장
535,온세미컨덕터코리아(주)
536,한화토탈(주)
537,(주)한독 음성공장
538,한온시스템(주) 대전공장
539,한온시스템(주) 평택공장
540,한온시스템(주)_울산공장
541,볼보그룹코리아(주)
542,롯데이네오스화학
543,도레이첨단소재(주)
544,도레이첨단소재(주)_구미2공장
545,도레이첨단소재(주)_구미5공장
546,도레이첨단소재(주)_안성공장
547,도레이첨단소재(주)_유구공장
548,도레이첨단소재(주)구미1공장
549,도레이첨단소재(주)구미4공장
550,도레이첨단소재(주)군산공장
551,(주)국순당 횡성공장
552,(주)DB하이텍 부천공장
553,(주)DB하이텍 상우공장
554,동서석유화학(주)
555,서울우유협동조합 안산공장
556,서울우유협동조합 거창공장
557,서울우유협동조합 양주신공장
558,(주)엠에스씨
559,(주)디비메탈
560,(주)디비메탈 동해공장
561,르노코리아자동차 주식회사(부산공장)
562,르노코리아자동차 기흥연구소
563,르노코리아자동차 영업본부
564,한국타이어앤테크놀로지(주) 본사
565,한국타이어앤테크놀로지(주) 금산공장
566,한국타이어앤테크놀로지(주) 대전공장
567,한국타이어앤테크놀로지(주) 생산기술연구소
568,한국테크노돔
569,넥센타이어(주) 양산공장
570,넥센타이어(주) 창녕공장
571,SK케미칼(본사)
572,SK케미칼 울산
573,SK케미칼 청주
574,에이치디현대인프라코어 인천공장
575,에이치디현대인프라코어 군산공장
576,영화금속(주)
577,영화금속(주)_함안공장
578,영화금속(주)제2공장
579,현대제철
580,현대제철 당진제철소
581,현대제철 순천공장
582,현대제철 예산2공장
583,현대제철 예산공장
584,현대제철 울산 대구경공장
585,현대제철 울산공장
586,현대제철 인천공장
587,현대제철 포항공장
588,현대제철_포항2공장
589,대한제당(주)
590,대한제당(주)인천사료
591,태광산업(주)
592,태광산업(주) 반여공장
593,태광산업(주) 석유화학 1공장
594,태광산업(주) 석유화학 2공장
595,태광산업(주) 석유화학 3공장
596,태광산업(주) 울산공장
597,태광산업(주)대구사업소
598,(주)케이씨씨
599,(주)케이씨씨 김천공장
600,라이온코리아(주)
601,삼성전기(주) 수원사업장
602,삼성전기(주) 부산사업장
603,삼성전기(주) 세종사업장
604,(주)한독 음성공장
605,(주)풍산
606,(주)풍산 안강사업장
607,(주)풍산 울산사업장
608,현대자동차(주) 본사
609,현대자동차 서비스센터
610,현대자동차 아산공장
611,현대자동차 연구시설
612,현대자동차 울산공장
613,현대자동차 전주공장
614,(주)필맥스
615,롯데알미늄 본사
616,롯데알미늄 안산1공장
617,롯데알미늄 진천공장
618,롯데알미늄 평택공장
619,LG이노텍 본사
620,LG이노텍 광주사업장
621,"LG이노텍 구미 2,3사업장"
622,"LG이노텍 구미1,1A사업장"
623,LG이노텍 마곡R&D캠퍼스
624,LG이노텍 안산R&D캠퍼스
625,LG이노텍 파주사업장
626,LG이노텍 평택사업장
627,LG이노텍_구미4(C4) 사업장
628,기아 주식회사
629,기아 주식회사 광명공장
630,기아 주식회사 광주완성차공장
631,기아 주식회사 광주하남공장
632,기아 주식회사 화성공장
633,(주)유니드
634,(주)유니드-화학_울산공장 
635,한화솔루션(주)
636,한화솔루션(주) 여수
637,한화솔루션(주) 여수2
638,한화솔루션(주) 울산1
639,한화솔루션(주) 울산2
640,한화솔루션(주) 울산3
641,한화솔루션(주) 중앙연구소
642,한화솔루션(주) 티디아이
643,한화솔루션㈜ 음성 제2사업장
644,한화솔루션㈜ 진천사업장
645,주식회사 전주페이퍼 (전주)
646,고려아연(주)
647,고려아연(주)온산제련소
648,현대위아(주) 창원1공장
649,현대위아(주) 광주공장
650,현대위아(주) 서산공장
651,현대위아(주) 안산1공장
652,현대위아(주) 안산2공장
653,현대위아(주) 울산1공장
654,현대위아(주) 울산3공장
655,현대위아(주) 의왕연구소
656,현대위아(주) 창원2공장
657,현대위아(주) 창원4공장
658,현대위아(주) 창원5공장
