summary,기준연도,기업기관명,투자총액,TQ
count,7549,7549,7549,7549
mean,2016.617035368923,null,1.3698439020805537E11,189.57598143698286
stddev,3.026115119231406,null,7.810185851049831E12,530.1794194478205
min,2011,ATsemicon,0.0,0.0
max,2022,희성화학,6.0E14,12514.526672014663
